Pianista,Kraj (PL)
Leonora Armellini,Włochy
J J Jun Li Bui,Kanada
Michelle Candotti,Włochy
Kai-Min Chang,Chińskie Tajpej
Junhui Chen,Chiny
Xuehong Chen,Chiny
Zixi Chen,Chiny
Hyounglok Choi,Korea Południowa
Federico Gad Crema,Włochy
Aleksandra H. Dąbek,Polska
Alberto Ferro,Włochy
Yasuko Furumi,Japonia
Alexander Gadjiev,Włochy/Słowenia
Martin Garcia Garcia,Hiszpania
Eva Gevorgyan,"Rosja, Armenia"
Jorge Gonzalez Buajasan,Kuba
Joanna Goranko,Polska
Chelsea Guo,USA
Eric Guo,Kanada
Saaya Hara,Japonia
Yifan Hou,Chiny
Wei-Ting Hsieh,Chińskie Tajpej
Kaoruko Igarashi,Japonia
Riko Imai,Japonia
Junichi Ito,Japonia
Asaki Iwai,Japonia
San Jittakarn,Tajlandia
Jooyeon Ka,Korea Południowa
Nikolay Khozyainov,Rosja
Su Yeon Kim,Korea Południowa
Aimi Kobayashi,Japonia
Mateusz Krzyżowski,Polska
Jakub Kuszlik,Polska
Shushi Kyomasu,Japonia
Hyuk Lee,Korea Południowa
Jaeyoon Lee,Korea Południowa
Xiaoxuan Li,Chiny
Bruce (Xiaoyu) Liu,Kanada
Julia Łozowska,Polska
Xuanyi Mao,Chiny
Tomasz Marut,Polska
Yupeng Mei,Chiny
Arsenii Mun,Rosja
Viet Trung Nguyen,Wietnam/Polska
Georgijs Osokins,Łotwa
Jinhyung Park,Korea Południowa
Yeon-Min Park,Korea Południowa
Jiana Peng,Chiny
Leonardo Pierdomenico,Włochy
Zuzanna Pietrzak,Polska
Haon Rao,Chiny
Yangyang Ruan,Chiny
Sohgo Sawada,Japonia
Aristo Sham,"Chiny, Hong Kong"
Miyu Shindo,Japonia
Talon Smith,USA
Kyohei Sorita,Japonia
Szuyu Su,Chińskie Tajpej
Hayato Sumino,Japonia
Aleksandra Świgut,Polska
Rikono Takeda,Japonia
Shun Shun Tie,Chiny
Sarah Tuan,USA
Chao Wang,Chiny
Zitong Wang,Chiny
Zijian Wei,Chiny
Marcin Wieczorek,Polska
Andrzej Wierciński,Polska
Victoria Wong,Kanada
Yuchong Wu,Chiny
Lingfei (Stephan) Xie,Chiny
Zi Xu,Chiny
Yuanfan Yang,Wielka Brytania
Anastasia Yasko,Rosja
Andrey Zenin,Rosja
Boao Zhang,Chiny
Yilan Zhao,Chiny
Ziji Zhao,Chiny
Piotr Alexewicz,Polska
Avery Gagliano,USA
Adam Kałduński,Polska
Szymon Nehring,Polska
Evren Ozel,USA
Kamil Pacholec,Polska
Piotr Pawlak,Polska
Yutong Sun,Chiny
Tomoharu Ushida,Japonia
