Pianista,Kraj (PL)
Piotr Alexewicz,Polska
Leonora Armellini,Włochy
J J Jun Li Bui,Kanada
Michelle Candotti,Włochy
Kai-Min Chang,Chińskie Tajpej
Xuehong Chen,Chiny
Hyounglok Choi,Korea Południowa
Federico Gad Crema,Włochy
Alberto Ferro,Włochy
Yasuko Furumi,Japonia
Alexander Gadjiev,Włochy/Słowenia
Avery Gagliano,Stany Zjednoczone
Martin Garcia Garcia,Hiszpania
Eva Gevorgyan,Rosja/Armenia
Wei-Ting Hsieh,Chińskie Tajpej
Adam Kałduński,Polska
Nikolay Khozyainov,Rosja
Su Yeon Kim,Korea Południowa
Aimi Kobayashi,Japonia
Mateusz Krzyżowski,Polska
Jakub Kuszlik,Polska
Shushi Kyomasu,Japonia
Hyuk Lee,Korea Południowa
Bruce (Xiaoyu) Liu,Kanada
Arsenii Mun,Rosja
Szymon Nehring,Polska
Viet Trung Nguyen,Wietnam/Polska
Georgijs Osokins,Łotwa
Evren Ozel,Stany Zjednoczone
Kamil Pacholec,Polska
Hao Rao,Chiny
Sohgo Sawada,Japonia
Aristo Sham,Chiny/Hong Kong
Miyu Shindo,Japonia
Talon Smith,Stany Zjednoczone
Kyohei Sorita,Japonia
Szuyu Su,Chińskie Tajpej
Hayato Sumino,Japonia
Yutong Sun,Chiny
Tomoharu Ushida,Japonia
Marcin Wieczorek,Polska
Andrzej Wierciński,Polska
Yuchong Wu,Chiny
Lingfei (Stephan) Xie,Kanada/Chiny
Zi Xu,Chiny
