Pianist,country
Piotr Alexewicz,Polska
Jonas Aumiller,Niemcy
Yanyan Bao,Chiny
Michał Basista,Polska
Kai-Min Chang,Chińskie Tajpej
Kevin Chen,Kanada
Xuehong Chen,Chiny
Zixi Chen,Chiny
Hoi Leong Cheong,"Chiny, Portugalia"
Diana Cooper,"Francja, Wielka Brytania"
Athena Deng,Kanada
Yubo Deng,Chiny
Mateusz Dubiel,Polska
Yu-Ang Fan,Chiny
Alberto Ferro,Włochy
Yang (Jack) Gao,Chiny
Shuguang Gong,Chiny
Eric Guo,Kanada
Wei-Ting Hsieh,Chińskie Tajpej
Xiaoyu Hu,Chiny
Hasan Ignatov,Bułgaria
Zihan Jin,Chiny
Adam Kałduński,Polska
David Khrikuli,Gruzja
Antoni Kłeczek,"USA, Polska"
Kaito Kobayashi,Japonia
Mateusz Krzyżowski,Polska
Shiori Kuwahara,Japonia
Shushi Kyomasu,Japonia
Hyo Lee,Korea Południowa
Hyuk Lee,Korea Południowa
Kwanwook Lee,Korea Południowa
Luwangzi Li,Chiny
Tianyou Li,Chiny
Xiaoxuan Li,Chiny
Zhexiang Li,Chiny
Hao-Wei Lin,Chińskie Tajpej
Pedro López Salas,Hiszpania
Eric Lu,USA
Philipp Lynov,neutralny
Tianyao Lyu,Chiny
Tiankun Ma,Chiny
Xuanyi Mao,Chiny
Ruben Micieli,Włochy
Nathalia Milstein,Francja
Yumeka Nakagawa,Japonia
Yulia Nakashima,"Japonia, Korea Południowa"
Viê.t Trung Nguyễn,"Wietnam, Polska"
Yuya Nishimoto,Japonia
Vincent Ong,Malezja
Arisa Onoda,Japonia
Piotr Pawlak,Polska
Yehuda Prokopowicz,Polska
Hao Rao,Chiny
Anthony Ratinov,USA
Zuzanna Sejbuk,Polska
Jun Shimada,Japonia
Miyu Shindo,Japonia
Mana Shoji,Japonia
Vitaly Starikov,Izrael
Gabriele Strata,Włochy
Eva Strejcová,Czechy
Ziye Tao,Chiny
Chun Lam U,Chiny
Tomoharu Ushida,Japonia
Ryan Wang,Kanada
Zitong Wang,Chiny
Jan Widlarz,Polska
Andrzej Wierciński,Polska
Krzysztof Wierciński,Polska
Victoria Wong,"USA, Kanada"
Maiqi Wu,Chiny
Yifan Wu,Chiny
Miki Yamagata,Japonia
Ryota Yamazaki,Japonia
Fanze Yang,Chiny
William Yang,USA
Yuanfan Yang,Wielka Brytania
Yichen Yu,Chiny
Yuewen Yu,Chiny
Andrey Zenin,neutralny
Jacky Xiaoyu Zhang,Wielka Brytania
Yonghuan Zhong,Chiny
Hanyuan Zhu,Chiny
Jingting Zhu,Chiny
