Nr,Pianist,country
1,Piotr Alexewicz,Polska
2,Jonas Aumiller,Niemcy
3,Yanyan Bao,Chiny
4,Kai-Min Chang,Chińskie Tajpej
5,Kevin Chen,Kanada
6,Xuehong Chen,Chiny
7,Zixi Chen,Chiny
8,Yubo Deng,Chiny
9,Yang (Jack) Gao,Chiny
10,Eric Guo,Kanada
11,Xiaoyu Hu,Chiny
12,Zihan Jin,Chiny
13,Adam Kałduński,Polska
14,David Khrikuli,Gruzja
15,Shiori Kuwahara,Japonia
16,Hyo Lee,Korea Południowa
17,Hyuk Lee,Korea Południowa
18,Kwanwook Lee,Korea Południowa
19,Tianyou Li,Chiny
20,Xiaoxuan Li,Chiny
21,Zhexiang Li,Chiny
22,Eric Lu,USA
23,Philipp Lynov,pianista pod neutralną flagą
24,Tianyao Lyu,Chiny
25,Ruben Micieli,Włochy
26,Nathalia Milstein,Francja
27,Yumeka Nakagawa,Japonia
28,Vincent Ong,Malezja
29,Piotr Pawlak,Polska
30,Yehuda Prokopowicz,Polska
31,Hao Rao,Chiny
32,Anthony Ratinov,USA
33,Miyu Shindo,Japonia
34,Gabriele Strata,Włochy
35,Tomoharu Ushida,Japonia
36,Zitong Wang,Chiny
37,Yifan Wu,Chiny
38,Miki Yamagata,Japonia
39,William Yang,USA
40,Jacky Zhang,Wielka Brytania
